Tiempo,Flexo-extensión hombro derecho,Abducción-aducción hombro derecho,Flexo-extensión codo derecho,Flexo-extensión muñeca derecha,Desviación radiocubital muñeca derecha
3.62000,0.38041,91.15764,-0.32656,-0.12277,1.15565
3.63000,0.38382,91.13950,-0.34281,-0.13140,1.14202
3.64000,0.38715,91.12078,-0.36148,-0.14168,1.12975
3.65000,0.38999,91.10164,-0.38122,-0.15385,1.11920
3.66000,0.39198,91.08209,-0.40076,-0.16765,1.11046
3.67000,0.39295,91.06200,-0.41906,-0.18248,1.10339
3.68000,0.39287,91.04107,-0.43532,-0.19752,1.09769
3.69000,0.39191,91.01892,-0.44903,-0.21188,1.09298
3.70000,0.39037,90.99512,-0.45995,-0.22471,1.08885
3.71000,0.38865,90.96925,-0.46803,-0.23525,1.08490
3.72000,0.38720,90.94100,-0.47338,-0.24283,1.08076
3.73000,0.38642,90.91023,-0.47620,-0.24690,1.07611
3.74000,0.38665,90.87698,-0.47676,-0.24697,1.07065
3.75000,0.38811,90.84148,-0.47533,-0.24269,1.06412
3.76000,0.39090,90.80416,-0.47224,-0.23382,1.05629
3.77000,0.39500,90.76561,-0.46788,-0.22032,1.04703
3.78000,0.40033,90.72649,-0.46266,-0.20240,1.03627
3.79000,0.40672,90.68750,-0.45706,-0.18050,1.02412
3.80000,0.41400,90.64932,-0.45157,-0.15534,1.01081
3.81000,0.42200,90.61258,-0.44667,-0.12785,0.99665
3.82000,0.43055,90.57777,-0.44276,-0.09908,0.98206
3.83000,0.43953,90.54528,-0.44017,-0.07014,0.96743
3.84000,0.44882,90.51540,-0.43908,-0.04214,0.95312
3.85000,0.45828,90.48826,-0.43956,-0.01605,0.93938
3.86000,0.46777,90.46387,-0.44156,0.00729,0.92641
3.87000,0.47709,90.44220,-0.44490,0.02728,0.91431
3.88000,0.48603,90.42309,-0.44929,0.04351,0.90310
3.89000,0.49436,90.40636,-0.45437,0.05585,0.89275
3.90000,0.50183,90.39181,-0.45973,0.06443,0.88319
3.91000,0.50820,90.37918,-0.46490,0.06966,0.87429
3.92000,0.51328,90.36823,-0.46940,0.07218,0.86587
3.93000,0.51695,90.35863,-0.47278,0.07278,0.85773
3.94000,0.51915,90.35011,-0.47463,0.07232,0.84964
3.95000,0.51996,90.34232,-0.47463,0.07157,0.84138
3.96000,0.51951,90.33493,-0.47258,0.07109,0.83276
3.97000,0.51798,90.32765,-0.46839,0.07123,0.82364
3.98000,0.51559,90.32024,-0.46207,0.07205,0.81391
3.99000,0.51255,90.31250,-0.45375,0.07344,0.80356
4.00000,0.50903,90.30434,-0.44356,0.07522,0.79257
4.01000,0.50519,90.29577,-0.43170,0.07719,0.78100
4.02000,0.50114,90.28688,-0.41836,0.07923,0.76897
4.03000,0.49699,90.27782,-0.40378,0.08132,0.75661
4.04000,0.49281,90.26879,-0.38818,0.08353,0.74412
4.05000,0.48870,90.25999,-0.37183,0.08596,0.73177
4.06000,0.48475,90.25159,-0.35502,0.08875,0.71981
4.07000,0.48102,90.24368,-0.33802,0.09203,0.70853
4.08000,0.47756,90.23629,-0.32107,0.09593,0.69814
4.09000,0.47440,90.22935,-0.30437,0.10063,0.68876
4.10000,0.47152,90.22271,-0.28805,0.10625,0.68039
4.11000,0.46887,90.21610,-0.27214,0.11290,0.67284
4.12000,0.46639,90.20921,-0.25664,0.12052,0.66582
4.13000,0.46401,90.20167,-0.24150,0.12891,0.65889
4.14000,0.46167,90.19308,-0.22668,0.13762,0.65161
4.15000,0.45930,90.18311,-0.21217,0.14605,0.64349
4.16000,0.45686,90.17147,-0.19797,0.15352,0.63408
4.17000,0.45428,90.15795,-0.18410,0.15936,0.62299
4.18000,0.45149,90.14243,-0.17057,0.16302,0.60991
4.19000,0.44838,90.12488,-0.15735,0.16415,0.59465
4.20000,0.44483,90.10534,-0.14439,0.16257,0.57715
4.21000,0.44067,90.08392,-0.13163,0.15829,0.55756
4.22000,0.43571,90.06078,-0.11900,0.15137,0.53622
4.23000,0.42972,90.03616,-0.10645,0.14192,0.51368
4.24000,0.42244,90.01036,-0.09394,0.13001,0.49068
4.25000,0.41360,89.98375,-0.08142,0.11564,0.46806
4.26000,0.40291,89.95677,-0.06886,0.09878,0.44674
4.27000,0.39010,89.92991,-0.05618,0.07942,0.42757
4.28000,0.37495,89.90364,-0.04330,0.05759,0.41131
